class,qwen3_line,qwen3_branch,qwen3_mcts_line,qwen3_mcts_branch
SummaryStatistics,43.75,29.31,90.69,70.69
JsonReader,43.37,32.85,43.83,33.05
HashCodeBuilder,82.47,71.43,82.47,71.43
FormatUtils,30.97,32.35,44.52,40.2
MillerUpdatingRegression,16.99,10.95,20.15,15.33
Step,74.07,58.0,3.03,2.0
DateTimeFormatterBuilder,44.27,36.89,81.77,69.9
JsonStringEncoder,14.62,10.58,42.92,44.23
Lexer,42.25,38.28,0.0,0.0
BooleanUtils,8.42,5.47,30.53,19.92
UTF32Reader,56.44,46.67,56.44,46.67
