project,class,complexity,category,methods,llama_line,llama_branch,gpt_line,gpt_branch,claude_line,claude_branch,mistral_line,mistral_branch
Compress-47f,ArArchiveInputStream,19,e,4,54.07,41.67,48.15,36.9,71.85,63.1,49.63,38.1
Compress-47f,TarArchiveInputStream,13,e,14,55.5,43.55,52.15,41.94,67.94,58.06,49.28,40.32
Compress-47f,ExtraFieldUtils,13,,7,66.02,50.0,44.66,17.39,93.2,100.0,64.08,69.57
Compress-47f,CpioArchiveInputStream,12,e,6,28.77,31.48,29.22,31.48,31.51,36.11,0.0,0.0
Compress-47f,GzipCompressorInputStream,11,e,4,53.64,35.62,52.73,42.47,79.09,67.12,0.0,0.0
JacksonDatabind-112f,ClassUtil,15,,73,50.29,45.83,45.29,45.45,41.18,39.02,45.88,45.83
JacksonDatabind-112f,ObjectWriter,11,,79,49.31,39.47,58.99,57.89,55.3,60.53,42.86,44.74
JacksonDatabind-112f,TypeFactory,14,,57,57.21,41.26,53.32,44.61,50.11,44.61,57.89,51.3
JacksonDatabind-112f,POJOPropertiesCollector,16,,29,24.73,12.28,0.0,0.0,0.0,0.0,0.0,0.0
JacksonDatabind-112f,StdDateFormat,15,e,26,85.16,67.18,83.39,70.23,92.58,87.79,91.87,79.39
JacksonDatabind-112f,AnnotationIntrospectorPair,14,e,86,30.69,21.15,35.02,25.0,9.39,9.13,4.69,1.92
JacksonDatabind-112f,SimpleType,16,e,16,69.23,60.0,60.44,50.0,64.84,60.0,72.53,66.0
JacksonDatabind-112f,NumberDeserializers,22,,1,97.92,100.0,97.92,97.73,97.92,97.73,97.92,97.73
JacksonDatabind-112f,AnnotatedMethodCollector,15,e,4,46.43,36.76,38.1,29.41,60.71,48.53,0.0,0.0
Time-13f,Hours,13,e,21,93.59,85.0,37.18,20.0,97.44,92.5,91.03,90.0
Time-13f,Days,12,e,21,97.37,92.31,94.74,87.18,98.68,94.87,93.42,89.74
Time-13f,PeriodFormatterBuilder,26,,75,91.95,68.67,64.94,50.6,89.66,63.86,83.91,60.24
Time-13f,DateTimeFormatterBuilder,30,,139,96.88,88.35,33.85,36.89,74.48,87.38,62.5,79.61
Time-13f,ISODateTimeFormat,11,,52,93.55,72.52,34.84,21.37,0.0,0.0,60.63,35.88
Time-13f,Months,17,e,15,93.59,86.36,93.59,93.18,93.59,90.91,93.59,95.45
Time-13f,PeriodType,17,,36,95.97,89.42,85.08,68.27,97.18,91.35,74.6,61.54
Time-13f,FormatUtils,12,,11,88.74,84.31,59.6,53.92,72.85,64.71,88.08,81.37
Time-13f,ZoneInfoCompiler,18,,23,52.07,46.85,56.2,44.76,77.69,75.52,54.13,49.65
Time-13f,DateTimeParserBucket,18,,15,0.0,0.0,68.52,58.06,86.11,75.81,0.0,0.0
Time-13f,DateTimeZoneBuilder,17,,50,82.52,60.0,78.32,62.5,90.21,78.75,79.02,56.25
Lang-4f,StringUtils,14,,174,3.45,3.71,13.43,11.68,9.61,7.57,0.0,0.0
Lang-4f,Conversion,23,,42,81.96,69.74,52.78,51.97,49.33,47.81,58.54,53.73
Lang-4f,NumericEntityUnescaper,12,e,2,82.93,77.08,87.8,79.17,85.37,70.83,90.24,77.08
Lang-4f,BooleanUtils,16,,36,91.05,74.61,57.89,58.98,90.53,81.64,72.63,55.08
Lang-4f,EqualsBuilder,14,,30,66.03,58.19,71.37,62.5,71.37,62.5,77.86,62.5
