project,class,complexity,iter_0_line,iter_0_branch,iter_1_line,iter_1_branch,iter_2_line,iter_2_branch,final_line,final_branch,final_iter
JacksonCore,TokenFilterContext,11,0.0,0.0,0.0,0.0,0.0,0.0,22.46,8.89,5
Jsoup,TokenQueue,12,30.5,27.69,73.05,57.69,78.72,60.77,80.14,66.92,11
Jsoup,Tokeniser,18,0.0,0.0,0.0,0.0,,,0.0,0.0,1
Math,TricubicSplineInterpolator,23,17.72,12.96,18.99,20.37,18.99,20.37,100.0,100.0,4
JacksonDatabind,TypeFactory,14,0.0,0.0,8.01,1.49,8.01,1.49,8.01,1.49,2
JacksonCore,UTF32Reader,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JacksonCore,UTF8JsonGenerator,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
JxPath,ValueUtils,12,2.44,2.03,2.44,2.03,2.44,2.03,8.54,8.78,8
JacksonXml,XmlFactory,25,15.16,6.73,15.16,6.73,15.16,6.73,15.16,6.73,2
Compress,ZipArchiveInputStream,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Time,ZoneInfoCompiler,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
