project,class_name,max_complexity,qwen3-coder:30b_last_line_coverage,qwen3-coder:30b_last_branch_coverage,qwen3-coder:30b-q8_0_constraints_mcts_last_line_coverage,qwen3-coder:30b-q8_0_constraints_mcts_last_branch_coverage
Lang-4f,ObjectUtils,11,74.22,81.71,79.69,87.8
Collections-28f,PrototypeFactory,16,0.0,0.0,0.0,0.0
Math-2f,BicubicSplineInterpolator,14,100.0,100.0,100.0,100.0
JacksonCore-26f,NameN,15,97.44,93.75,100.0,100.0
Time-13f,Days,12,94.74,92.31,94.74,92.31
JxPath-22f,MethodLookupUtils,16,92.81,83.0,74.15,64.0
JacksonXml-5f,XmlFactory,25,25.0,5.77,25.0,5.77
JacksonCore-26f,ByteSourceJsonBootstrapper,22,0.0,0.0,19.07,11.59
Codec-18f,Base64,11,55.91,43.0,58.18,43.0
Math-2f,OpenIntToDoubleHashMap,15,63.06,52.94,61.78,47.06
JxPath-22f,PackageFunctions,18,86.89,65.0,84.72,57.5
Jsoup-93f,HtmlTreeBuilder,15,2.34,0.48,2.6,0.48
JacksonCore-26f,UTF8JsonGenerator,11,0.76,0.0,19.29,13.61
Math-2f,MathArrays,13,9.79,7.63,3.96,11.65
Collections-28f,Flat3Map,23,56.7,48.97,37.26,27.59
Math-2f,BracketingNthOrderBrentSolverDFP,19,0.0,0.0,0.0,0.0
JxPath-22f,ValueUtils,12,2.44,2.03,2.99,2.7
Jsoup-93f,TokenQueue,12,52.48,50.0,85.82,76.15
Lang-4f,DateUtils,19,17.42,15.14,17.42,15.14
Time-13f,Months,17,94.87,95.45,94.87,95.45
Lang-4f,AnnotationUtils,19,14.04,15.22,34.21,33.7
Math-2f,MultiStartUnivariateOptimizer,12,17.31,10.0,0.0,0.0
Codec-18f,Base32,14,12.65,12.0,66.84,54.67
Math-2f,SmoothingPolynomialBicubicSplineInterpolator,13,96.0,87.5,98.08,90.62
Cli-40f,HelpFormatter,11,53.77,27.87,70.7,55.74
JacksonXml-5f,FromXmlParser,29,5.38,2.68,5.38,2.68
JacksonDatabind-112f,POJOPropertiesCollector,16,0.0,0.0,36.34,23.95
JacksonXml-5f,StaxUtil,12,92.5,82.5,92.5,85.0
JxPath-22f,PropertyIterator,13,0.0,0.0,0.0,0.0
Math-2f,MultivariateNormalMixtureExpectationMaximization,15,0.0,0.0,37.39,35.19
